id,h_0_depth,h_450_depth,h_900_depth,h_1350_depth,h_1800_depth,h_2250_depth,h_2700_depth,h_3150_depth,h_3600_depth,h_4050_depth,h_4500_depth,h_4950_depth,h_5400_depth,h_5850_depth,h_6300_depth,h_6750_depth,h_7200_depth
3099,0.0,0.00171500002034,0.0017180000431835,0.0017180000431835,0.0017180000431835,0.0017180000431835,0.0017180000431835,0.0017180000431835,0.0017180000431835,0.0017180000431835,0.0017180000431835,0.0017180000431835,0.0017180000431835,0.0017180000431835,0.0017180000431835,0.0017180000431835,0.0017180000431835
3101,0.0,0.0058900001458823,0.0116839995607733,0.0167410001158714,0.0206550005823373,0.0235830005258321,0.0269140005111694,0.0294209998100996,0.0383550003170967,0.042238999158144,0.0444590002298355,0.0462520010769367,0.0476800017058849,0.0488179996609687,0.0497910007834434,0.0506040006875991,0.0514310002326965
3103,0.0,0.012168999761343,0.0197149999439716,0.0281290002167224,0.0369429998099803,0.0455829985439777,0.0537489987909793,0.060819000005722,0.0666219964623451,0.0715150013566017,0.0756630003452301,0.0791649967432022,0.082065001130104,0.0844340026378631,0.0864100009202957,0.0881000012159347,0.0895119979977607
3105,0.0,0.0092510003596544,0.0168830007314682,0.0226670000702142,0.0269789993762969,0.029993999749422,0.0318569988012313,0.0331280007958412,0.0343060009181499,0.038612000644207,0.0424060001969337,0.045584000647068,0.0478390008211135,0.0502820014953613,0.0526380017399787,0.0545150004327297,0.0559119991958141
3107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3109,0.0,0.0082360003143548,0.0174770001322031,0.0259089991450309,0.0326029993593692,0.0383649989962577,0.0437039993703365,0.0484820008277893,0.052751000970602,0.0571280010044574,0.0612719990313053,0.0647540017962455,0.0674559995532035,0.0697060003876686,0.0717630013823509,0.0735329985618591,0.0749749988317489
3111,0.0,0.0108390003442764,0.0209880005568265,0.0310670007020235,0.0416040010750293,0.0514959990978241,0.0605290010571479,0.068131998181343,0.0743860006332397,0.0796929970383644,0.0841810032725334,0.0879580006003379,0.0910819992423057,0.0936350002884864,0.0957719981670379,0.0975989997386932,0.0991209968924522
3113,0.0,0.0088010001927614,0.0188229996711015,0.0296589992940425,0.0403140000998973,0.0504040010273456,0.0595979988574981,0.0673089995980262,0.073683001101017,0.0790999978780746,0.0836929976940155,0.0875599980354309,0.0907690003514289,0.0933960005640983,0.0955969989299774,0.0974790006875991,0.099041998386383
3115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3117,0.0,0.1193310022354126,0.3507530093193054,0.6161829829216003,0.896049976348877,1.1808010339736938,1.4087320566177368,1.6234660148620603,1.860008955001831,2.011904001235962,2.014334917068481,2.0144529342651367,2.014655113220215,2.014853000640869,2.014981985092163,2.0151209831237797,2.015302896499634
